abandoned	-0.00017741323	0.18380056	0.18397798
abdominal	0.019773528	0.16318762	0.1434141
abhorrent	0.007000208	0.14751415	0.14051394
abiding	0.027323753	0.09373081	0.066407055
abject	0.033543386	0.1082842	0.07474081
able	0.045242656	0.0954954	0.050252747
abnormal	-0.00246194	0.07995387	0.08241581
abounding	-0.02022262	0.045152627	0.065375246
abrasive	0.0717254	0.10073588	0.029010486
abrupt	0.0169876	0.08836703	0.07137943
absent	0.018193366	0.04511826	0.026924895
absentminded	-0.03436494	0.21108863	0.24545357
absolute	0.02942719	0.0070628133	-0.022364376
absorbed	0.013815042	-0.027473036	-0.041288078
absorbing	0.030914985	0.010515704	-0.020399282
abstracted	-0.09856425	-0.07046489	0.028099362
absurd	0.035816975	0.12364752	0.08783054
abundant	0.023926932	0.059843313	0.03591638
abusive	-0.047145635	0.1988486	0.24599424
abysmal	0.08968893	0.096764036	0.0070751095
academic	-0.03908131	0.057570133	0.09665144
acceptable	-0.017981706	0.023828736	0.04181044
accepting	0.009814613	0.089035094	0.07922048
accessible	-0.05081467	-0.02237732	0.02843735
accidental	0.040229686	0.15634356	0.11611388
acclaimed	0.020917062	-0.020662554	-0.041579615
accommodating	0.0293473	0.05762315	0.028275851
accompanying	-0.028322894	0.024203729	0.052526623
accountable	0.045834728	0.05618836	0.010353632
accurate	0.045368653	0.03141221	-0.0139564425
accusative	0.021267697	0.11785222	0.09658452
accused	0.04730603	0.21738416	0.17007813
accusing	0.03968296	0.08261978	0.04293682
acerbic	-0.004201114	0.14520422	0.14940533
achievable	0.014855735	-0.0015287284	-0.016384464
aching	-0.01738736	0.146527	0.16391437
acid	-0.051389016	0.10284009	0.1542291
acidic	-0.031310745	0.06277896	0.0940897
acknowledged	0.042844027	0.12785822	0.085014194
acoustic	-0.052057777	-0.027000474	0.025057303
acrid	0.02547492	0.114249595	0.08877467
acrimonious	0.04656008	0.111320995	0.064760916
acrobatic	0.08370302	0.16356051	0.07985749
actionable	-0.034748074	-0.03563168	-0.0008836043
active	0.011272039	0.0095331585	-0.0017388808
actual	-0.011823263	0.018947773	0.030771036
adamant	0.03532587	0.1618977	0.12657183
adaptable	0.04690481	0.03638523	-0.010519579
adaptive	0.0038457043	-0.0014365219	-0.005282226
addicted	-0.030790351	0.11438232	0.14517267
addictive	-0.029288448	0.05658005	0.0858685
additional	0.0023342706	0.033237282	0.030903012
adept	0.06680036	0.05213581	-0.014664554
adequate	0.017037578	0.035196695	0.018159118
adhesive	-0.015292019	0.04273466	0.05802668
adjacent	-0.0046973154	0.028384611	0.033081926
adjoining	-0.009643227	0.08358348	0.09322671
adjustable	-0.013567055	0.016085489	0.029652543
administrative	-0.057339482	0.018654099	0.07599358
admirable	0.03924931	0.09569063	0.056441322
admired	0.07463068	0.15483251	0.080201834
admiring	0.03828056	0.19356532	0.15528476
adopted	-0.07665846	0.024960507	0.10161897
adoptive	-0.05431819	0.25463983	0.30895802
adorable	-0.141541	0.15292916	0.29447016
adored	0.0009146631	0.1664242	0.16550954
adoring	0.02131261	0.1930704	0.17175779
adrenalized	0.021215912	0.049847737	0.028631825
adroit	0.078375645	0.056692436	-0.02168321
adult	-0.08817412	0.20254795	0.29072207
advanced	0.028231144	0.0017558457	-0.026475297
advantageous	0.011770673	-0.0067383866	-0.01850906
adventurous	0.028815657	0.12221379	0.09339813
adversarial	-0.08186794	-0.0015096577	0.08035828
advisable	0.012293261	0.06427373	0.05198047
aerial	0.08359823	0.103819065	0.020220835
affable	0.21045229	0.32496384	0.11451156
affected	-0.042535387	-0.027890634	0.014644751
affectionate	0.008185625	0.26637197	0.25818634
affirmative	-0.044869535	0.08118852	0.12605806
affordable	-0.03780843	-0.031123944	0.006684485
afraid	0.022544712	0.2569234	0.2343787
afternoon	0.027666628	0.1926469	0.16498028
ageless	0.09109035	0.16366494	0.072574586
aggravated	0.081602	0.18945758	0.10785558
aggravating	0.059179757	0.11972777	0.06054801
aggressive	0.047896847	0.09092153	0.04302468
agitated	0.062225625	0.22948666	0.16726103
agonizing	-0.036490172	0.16436423	0.2008544
agrarian	0.00018127263	0.08120515	0.08102388
agreeable	0.024689186	0.07175305	0.04706386
aimless	0.09274486	0.14631034	0.053565484
airline	-0.040603995	0.095312834	0.13591683
airsick	-0.039979815	0.21367252	0.25365233
ajar	0.026708946	0.19927901	0.17257006
alarmed	-0.029966246	0.05392242	0.083888665
alarming	0.011829041	0.032143734	0.020314693
alert	0.03326516	0.101298265	0.06803311
algebraic	-0.06987735	-0.05024791	0.01962944
alien	0.046216547	0.16613328	0.11991674
alienated	0.053979136	0.085672595	0.03169346
alike	0.030605255	0.0021807156	-0.028424539
alive	0.035965547	0.27501848	0.23905294
all	0.054644942	0.16573003	0.11108509
alleged	0.022823602	0.21274588	0.18992227
allowable	0.016990699	0.042520992	0.025530294
alluring	-0.14601326	0.027518071	0.17353132
allusive	0.014319394	0.047274962	0.03295557
alone	0.0058306605	0.21982706	0.2139964
aloof	0.0782844	0.17914295	0.100858554
alterable	-0.039423484	-0.05312373	-0.013700248
alternating	-0.02892021	0.029121127	0.058041338
alternative	0.01275811	0.06402166	0.051263552
amazed	-0.0059955865	0.14409909	0.15009467
amazing	0.0056814104	0.13405043	0.12836902
ambiguous	-0.039482184	0.068968035	0.10845022
ambitious	0.03934554	0.0737211	0.034375563
ambulant	-0.042049848	0.08214747	0.12419732
ambulatory	-0.042773925	0.0046620164	0.047435943
amiable	0.13625929	0.23832506	0.10206577
amicable	0.0049215257	0.071469076	0.06654755
